DISTRICT,CUSTODIAL RAPE,OTHER IPC CRIMES,STATE/UT,OTHER RAPE,CRIMINAL BREACH OF TRUST,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,THEFT,RAPE,RIOTS,KIDNAPPING & ABDUCTION,ROBBERY,YEAR,AUTO THEFT,OTHER THEFT,ATTEMPT TO MURDER,MURDER,ARSON,TOTAL IPC CRIMES,DACOITY,COUNTERFIETING,BURGLARY,CHEATING
BANDIPORA,0,204,JAMMU & KASHMIR,4,0,0,53,4,106,45,3,2010,7,46,13,14,5,560,0,0,33,5
BARAMULLA,0,429,JAMMU & KASHMIR,7,11,2,71,7,176,57,1,2010,12,59,10,10,27,975,0,0,81,12
BUDGAM,0,482,JAMMU & KASHMIR,7,5,4,278,7,201,67,10,2010,27,251,25,2,17,1352,0,0,91,18
CRIME JAMMU,0,1,JAMMU & KASHMIR,0,0,0,0,0,0,0,0,2010,0,0,0,0,0,20,0,0,0,19
CRIME KASHMIR,0,0,JAMMU & KASHMIR,0,3,0,0,0,0,0,0,2010,0,0,0,0,0,32,0,0,0,29
DODA,0,541,JAMMU & KASHMIR,21,4,0,46,21,14,59,1,2010,2,44,32,5,14,870,0,0,49,11
GANDERBAL,0,87,JAMMU & KASHMIR,1,6,0,32,1,66,15,0,2010,7,25,3,4,3,365,0,1,15,8
HANDWARA,0,173,JAMMU & KASHMIR,1,4,0,47,1,25,36,0,2010,2,45,36,10,2,420,1,0,19,10
JAMMU,0,2430,JAMMU & KASHMIR,36,42,5,494,36,69,81,1,2010,315,179,86,23,16,3976,0,0,216,105
KARGIL,0,93,JAMMU & KASHMIR,0,2,0,11,0,8,1,0,2010,3,8,0,1,2,136,0,0,11,1
KATHUA,0,741,JAMMU & KASHMIR,17,5,2,68,17,40,19,1,2010,23,45,20,11,13,1061,0,0,49,17
KISHTWAR,0,211,JAMMU & KASHMIR,3,2,0,20,3,0,26,0,2010,1,19,24,9,0,338,1,1,20,7
KULGAM,0,234,JAMMU & KASHMIR,4,13,0,61,4,115,45,10,2010,19,42,15,6,11,712,0,1,58,6
KUPWARA,0,195,JAMMU & KASHMIR,3,1,1,53,3,107,33,0,2010,6,47,25,7,4,527,0,1,53,10
LEH,0,117,JAMMU & KASHMIR,2,1,0,5,2,8,4,0,2010,0,5,1,1,0,158,0,0,10,3
POONCH,0,529,JAMMU & KASHMIR,20,4,1,31,20,132,39,0,2010,3,28,37,12,0,950,0,0,23,8
PULWAMA,0,164,JAMMU & KASHMIR,8,3,2,80,8,172,33,4,2010,10,70,10,4,8,617,1,3,37,7
RAILWAYS,0,5,JAMMU & KASHMIR,0,1,0,12,0,16,1,0,2010,1,11,0,0,0,36,0,0,1,0
RAILWAYS,0,10,JAMMU & KASHMIR,1,0,1,8,1,0,0,0,2010,1,7,0,1,0,21,0,0,0,0
RAJOURI,0,1000,JAMMU & KASHMIR,36,10,6,52,36,33,47,0,2010,20,32,36,15,22,1460,2,0,44,15
RAMBAN,0,491,JAMMU & KASHMIR,6,3,0,37,6,17,17,0,2010,20,17,9,3,1,636,0,1,24,10
REASI,0,399,JAMMU & KASHMIR,8,1,1,41,8,1,12,1,2010,4,37,15,5,4,545,0,0,29,9
SAMBA,0,502,JAMMU & KASHMIR,5,0,1,42,5,27,4,0,2010,9,33,13,9,2,660,0,1,30,7
SHOPIAN,0,172,JAMMU & KASHMIR,9,1,0,116,9,72,47,3,2010,21,95,22,4,13,621,0,2,38,11
SOPORE,0,160,JAMMU & KASHMIR,9,2,0,145,9,122,38,3,2010,8,137,67,30,18,734,0,0,63,1
SRINAGAR,0,913,JAMMU & KASHMIR,13,14,0,497,13,313,68,12,2010,388,109,186,15,20,2630,1,2,247,63
UDHAMPUR,0,817,JAMMU & KASHMIR,15,2,0,36,15,27,10,2,2010,13,23,9,7,2,1032,0,0,47,6
TOTAL,0,11869,JAMMU & KASHMIR,245,150,26,2510,245,2169,896,61,2010,967,1543,711,217,224,23223,6,19,1406,422
BOKARO,0,1481,JHARKHAND,28,79,0,654,28,128,64,30,2010,137,517,7,70,0,2808,13,0,74,82
CHAIBASA,0,383,JHARKHAND,48,3,0,142,48,13,24,33,2010,62,80,47,119,2,916,12,0,14,28
CHATRA,0,408,JHARKHAND,11,6,1,76,11,82,26,22,2010,15,61,36,31,6,923,9,0,20,15
DEOGHAR,0,493,JHARKHAND,33,23,3,293,33,158,28,20,2010,97,196,17,58,6,1702,16,2,126,22
DHANBAD,0,1868,JHARKHAND,32,28,10,897,32,209,95,47,2010,394,503,31,58,6,3835,52,3,205,59
