DISTRICT,CUSTODIAL RAPE,OTHER IPC CRIMES,STATE/UT,OTHER RAPE,CRIMINAL BREACH OF TRUST,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,THEFT,RAPE,RIOTS,KIDNAPPING & ABDUCTION,ROBBERY,YEAR,AUTO THEFT,OTHER THEFT,ATTEMPT TO MURDER,MURDER,ARSON,TOTAL IPC CRIMES,DACOITY,COUNTERFIETING,BURGLARY,CHEATING
REASI,0,187,JAMMU & KASHMIR,7,7,3,22,7,6,11,0,2001,0,22,75,36,12,389,1,0,8,2
SRINAGAR,0,1211,JAMMU & KASHMIR,8,7,8,490,8,158,115,59,2001,333,157,49,63,64,3042,6,5,382,102
UDHAMPUR,0,624,JAMMU & KASHMIR,10,4,1,117,10,46,15,2,2001,11,106,28,21,6,1010,0,0,70,8
TOTAL,0,9046,JAMMU & KASHMIR,169,90,33,1919,169,1072,606,161,2001,633,1286,1474,1075,437,19505,24,15,1345,391
BOKARO,0,644,JHARKHAND,26,16,2,435,26,119,38,66,2001,35,400,75,70,13,1936,38,21,108,17
CHAIBASA,0,214,JHARKHAND,32,8,10,99,32,22,17,9,2001,42,57,34,109,5,669,7,0,38,22
CHATRA,0,417,JHARKHAND,6,0,0,80,6,90,10,15,2001,8,72,10,40,1,748,23,0,30,13
DEOGHAR,0,275,JHARKHAND,22,8,4,129,22,118,7,15,2001,29,100,82,47,11,1106,13,0,66,14
DHANBAD,0,1096,JHARKHAND,32,11,7,546,32,205,57,48,2001,43,503,31,97,14,2916,56,0,203,77
DHANBAD RLY.,0,88,JHARKHAND,2,0,0,209,2,4,4,13,2001,2,207,0,11,0,360,12,0,9,8
DUMKA,0,291,JHARKHAND,27,14,4,66,27,75,24,8,2001,36,30,32,63,16,1016,11,0,48,8
GARHWA,0,319,JHARKHAND,11,2,6,54,11,113,5,17,2001,15,39,6,32,12,788,19,0,32,15
GIRIDIH,0,953,JHARKHAND,42,18,6,111,42,173,15,27,2001,56,55,65,63,21,1918,56,0,116,49
GODDA,0,630,JHARKHAND,37,0,0,70,37,90,30,18,2001,49,21,0,61,0,1030,24,0,66,3
GUMLA,0,227,JHARKHAND,29,4,7,56,29,40,16,44,2001,39,17,18,136,0,658,30,0,31,7
HAZARIBAGH,0,761,JHARKHAND,41,9,4,348,41,268,42,68,2001,80,268,35,76,5,2498,85,0,150,54
JAMSHEDPUR,0,1100,JHARKHAND,50,85,8,343,50,131,60,27,2001,67,276,190,81,8,2712,10,0,134,115
JAMSHEDPUR RLY.,0,59,JHARKHAND,1,0,0,65,1,2,0,4,2001,1,64,0,4,0,148,6,0,3,3
JAMTARA,0,21,JHARKHAND,18,2,0,68,18,61,14,9,2001,24,44,30,22,3,473,6,0,21,10
KODERMA,0,251,JHARKHAND,2,16,1,77,2,80,14,15,2001,3,74,18,21,3,667,13,0,27,17
LATEHAR,0,145,JHARKHAND,12,2,5,48,12,27,4,9,2001,15,33,8,54,0,380,44,0,13,0
LOHARDAGGA,0,121,JHARKHAND,12,4,0,28,12,29,14,11,2001,16,12,4,33,3,311,8,0,14,5
PAKUR,0,236,JHARKHAND,23,6,0,37,23,39,7,5,2001,29,8,19,31,7,483,11,0,13,19
PALAMU,0,416,JHARKHAND,15,21,3,94,15,160,14,32,2001,20,74,52,73,23,1461,43,0,71,5
RANCHI,0,22,JHARKHAND,73,47,18,647,73,66,1,140,2001,97,550,65,243,10,1602,81,0,2,55
SAHEBGANJ,0,171,JHARKHAND,20,5,3,80,20,72,17,8,2001,26,54,34,47,10,628,12,1,25,19
SARAIKELA,0,232,JHARKHAND,17,5,53,123,17,29,19,12,2001,22,101,56,44,0,692,15,0,43,17
SIMDEGA,0,88,JHARKHAND,17,0,2,14,17,5,12,27,2001,0,14,2,49,0,247,13,1,3,2
TOTAL,0,8777,JHARKHAND,567,283,143,3827,567,2018,441,647,2001,754,3073,866,1507,165,25447,636,23,1266,554
BAGALKOT,0,770,KARNATAKA,2,6,10,105,2,218,17,3,2001,27,78,34,59,12,1710,2,2,47,18
BANGALORE COMMR.,0,11106,KARNATAKA,40,258,5,6293,40,298,152,284,2001,2401,3892,327,221,3,27254,31,79,2108,1708
BANGALORE RURAL,0,2120,KARNATAKA,13,22,2,533,13,358,37,32,2001,92,441,86,137,39,5209,23,2,405,60
BELGAUM,0,2429,KARNATAKA,8,17,2,386,8,389,27,47,2001,139,247,55,120,25,5053,19,1,212,102
BELLARY,0,1445,KARNATAKA,16,9,1,303,16,260,14,20,2001,75,228,41,58,13,3229,5,1,179,19
BIDAR,0,2449,KARNATAKA,7,7,4,202,7,163,19,36,2001,45,157,58,48,21,4371,7,0,154,33
BIJAPUR,0,1163,KARNATAKA,6,5,4,202,6,396,24,21,2001,34,168,47,51,34,2941,5,3,108,19
CHAMARAJNAGAR,0,437,KARNATAKA,4,3,0,133,4,107,5,9,2001,20,113,18,19,25,1390,1,1,72,10
CHICKMAGALUR,0,1022,KARNATAKA,8,7,3,222,8,187,12,10,2001,44,178,24,41,5,2766,4,4,148,25
CHITRADURGA,0,1219,KARNATAKA,18,7,0,145,18,269,4,20,2001,38,107,22,31,8,2691,8,1,115,22
DAKSHIN KANNADA,0,1846,KARNATAKA,3,15,0,219,3,127,9,8,2001,109,110,36,33,12,3047,1,5,214,55
DAVANAGERE,0,1325,KARNATAKA,22,12,6,332,22,297,23,26,2001,114,218,39,58,1,3301,5,3,246,46
DHARWAD COMMR.,0,944,KARNATAKA,4,8,0,245,4,168,8,34,2001,99,146,24,16,7,1902,5,0,159,56
DHARWAD RURAL,0,497,KARNATAKA,3,7,2,38,3,110,3,5,2001,1,37,10,25,0,899,3,1,30,14
GADAG,0,392,KARNATAKA,2,4,1,55,2,109,4,13,2001,16,39,17,22,1,899,4,1,55,23
GULBARGA,0,1421,KARNATAKA,20,6,3,268,20,423,35,61,2001,55,213,83,95,25,4169,10,0,246,68
HASSAN,0,1544,KARNATAKA,20,9,0,268,20,210,17,23,2001,59,209,69,64,0,4039,5,0,162,17
HAVERI,0,1175,KARNATAKA,3,9,4,111,3,260,12,10,2001,21,90,17,24,0,2211,7,2,85,20
K.G.F.,0,258,KARNATAKA,1,0,3,108,1,73,12,6,2001,19,89,22,20,0,906,4,1,94,12
KODAGU,0,459,KARNATAKA,4,2,2,87,4,170,4,3,2001,11,76,33,26,3,1301,1,6,105,6
KOLAR,0,1385,KARNATAKA,17,9,4,284,17,373,21,25,2001,63,221,72,69,0,3230,3,1,156,48
KOPPAL,0,587,KARNATAKA,6,2,0,120,6,166,12,8,2001,17,103,33,23,5,1406,3,1,71,21
MANDYA,0,2234,KARNATAKA,15,7,3,328,15,280,9,28,2001,53,275,47,67,0,4807,2,2,195,30
MYSORE COMMR.,0,794,KARNATAKA,2,17,0,326,2,67,11,32,2001,140,186,34,32,0,1903,0,1,109,52
MYSORE RURAL,0,942,KARNATAKA,12,5,1,200,12,212,14,0,2001,16,184,58,53,0,2900,0,2,167,15
RAICHUR,0,857,KARNATAKA,12,8,9,150,12,261,11,13,2001,46,104,38,33,15,2384,4,1,137,94
RAILWAYS,0,174,KARNATAKA,1,1,0,331,1,16,1,11,2001,7,324,0,12,0,583,3,4,9,2
SHIMOGA,0,1864,KARNATAKA,12,4,1,292,12,260,14,15,2001,100,192,48,56,20,4178,1,1,206,31
TUMKUR,0,1738,KARNATAKA,6,13,4,389,6,234,21,27,2001,92,297,55,80,69,4141,10,3,237,26
UDUPI,0,1231,KARNATAKA,2,4,0,112,2,107,2,12,2001,39,73,14,16,5,1959,1,1,93,15
UTTAR KANNADA,0,1474,KARNATAKA,4,11,0,81,4,118,5,5,2001,24,57,14,17,4,2319,1,1,70,11
TOTAL,0,47301,KARNATAKA,293,494,74,12868,293,6686,559,847,2001,4016,8852,1475,1626,352,109098,178,131,6394,2678
ALAPUZHA,0,4516,KERALA,21,18,2,195,21,419,8,18,2001,109,86,32,22,35,7319,2,9,227,152
CBCID,0,15,KERALA,2,18,0,5,2,6,2,1,2001,0,5,7,22,1,250,1,119,5,37
ERNAKULAM,0,9669,KERALA,38,22,7,1264,38,626,20,80,2001,294,970,67,44,25,14843,25,12,592,267
IDUKKI,0,2352,KERALA,34,55,1,254,34,301,0,16,2001,39,215,30,33,10,5421,3,0,240,78
KANNUR,0,2776,KERALA,42,17,4,213,42,831,12,18,2001,75,138,58,26,6,5888,1,8,277,183
KASARGOD,0,1277,KERALA,28,11,2,145,28,683,4,9,2001,79,66,23,18,0,3116,32,4,132,55
KOLLAM,0,4645,KERALA,55,16,21,291,55,575,16,62,2001,120,171,65,41,63,9282,13,14,334,120
KOTTAYAM,0,3602,KERALA,22,25,3,373,22,347,18,54,2001,125,248,26,34,17,7082,2,8,319,252
KOZHIKODE,0,4012,KERALA,39,26,8,428,39,1127,12,15,2001,153,275,35,34,391,8394,28,6,448,302
MALAPPURAM,0,4011,KERALA,71,40,5,340,71,663,17,11,2001,157,183,33,23,30,7428,6,14,288,211
PALAKKAD,0,2749,KERALA,63,66,14,315,63,608,14,30,2001,120,195,57,45,67,6516,11,5,342,159
PATHANAMTHITTA,0,2266,KERALA,12,10,16,129,12,224,0,7,2001,65,64,13,20,29,4100,1,6,144,65
RAILWAYS,0,39,KERALA,1,0,0,197,1,39,0,2,2001,2,195,0,0,0,289,0,0,1,1
THRISSUR,0,6456,KERALA,42,40,20,516,42,577,18,82,2001,188,328,79,42,4,10465,14,11,406,390
TRIVANDRUM,0,5336,KERALA,57,35,6,636,57,892,41,104,2001,244,392,79,53,77,11368,32,18,597,394
WAYANADU,0,823,KERALA,35,29,2,140,35,190,1,8,2001,25,115,11,15,13,2086,5,5,122,90
TOTAL,0,54544,KERALA,562,428,111,5441,562,8108,183,517,2001,1795,3646,615,472,768,103847,176,239,4474,2756
BALAGHAT,0,1310,MADHYA PRADESH,87,10,8,226,87,42,11,7,2001,21,205,43,56,18,2925,0,0,229,10
BARWANI,0,473,MADHYA PRADESH,34,6,3,237,34,35,2,18,2001,30,207,30,41,10,2008,2,1,130,5
BETUL,0,1112,MADHYA PRADESH,95,6,1,246,95,9,19,18,2001,33,213,48,56,16,2637,0,0,199,15
BHIND,0,1313,MADHYA PRADESH,31,9,2,283,31,99,47,28,2001,25,258,97,63,17,3361,3,1,223,28
BHOPAL,0,9372,MADHYA PRADESH,106,33,0,1351,106,77,55,99,2001,425,926,109,61,8,13708,8,0,852,192
BHOPAL RLY.,0,257,MADHYA PRADESH,1,0,0,705,1,3,2,25,2001,13,692,3,5,0,1036,1,0,10,8
CHHATARPUR,0,1718,MADHYA PRADESH,65,0,1,163,65,104,28,42,2001,0,163,72,54,20,3361,4,0,240,36
CHHINDWARA,0,1335,MADHYA PRADESH,93,16,2,239,93,26,18,18,2001,66,173,51,78,26,3672,0,0,165,67
DAMOH,0,920,MADHYA PRADESH,66,3,0,188,66,54,18,24,2001,20,168,78,43,32,2879,3,0,114,18
DATIYA,0,908,MADHYA PRADESH,12,1,0,103,12,30,25,26,2001,12,91,55,53,9,1866,3,0,87,8
DEWAS,0,2376,MADHYA PRADESH,78,16,0,677,78,119,20,67,2001,115,562,112,50,39,5039,10,0,367,22
DHAR,0,2558,MADHYA PRADESH,68,33,0,651,68,48,22,35,2001,72,579,99,89,28,4910,6,0,285,25
DINDORI,0,467,MADHYA PRADESH,20,5,0,44,20,6,2,2,2001,7,37,4,13,4,821,0,0,52,6
GUNA,0,2438,MADHYA PRADESH,124,14,4,350,124,171,17,50,2001,46,304,72,71,35,6001,9,0,448,27
GWALIOR,0,2680,MADHYA PRADESH,59,22,5,925,59,170,46,144,2001,305,620,168,84,25,6846,4,0,939,81
HARDA,0,349,MADHYA PRADESH,28,0,0,74,28,23,2,3,2001,10,64,12,14,8,746,1,0,43,9
HOSHANGABAD,0,1240,MADHYA PRADESH,65,8,27,286,65,33,16,31,2001,51,235,57,53,13,2741,0,0,253,25
INDORE,0,6567,MADHYA PRADESH,84,59,1,2708,84,129,50,112,2001,1360,1348,133,111,29,13063,5,3,874,149
INDORE RLY.,0,108,MADHYA PRADESH,2,0,2,193,2,2,0,7,2001,3,190,4,6,0,353,0,0,3,5
JABALPUR,0,3468,MADHYA PRADESH,108,14,28,887,108,112,33,126,2001,300,587,167,103,15,8333,0,0,596,40
JABALPUR RLY.,0,95,MADHYA PRADESH,0,2,0,221,0,1,0,15,2001,6,215,0,3,0,359,0,0,0,2
JHABUA,0,1653,MADHYA PRADESH,44,5,3,269,44,74,83,20,2001,13,256,119,124,45,3416,5,0,163,10
KATNI,0,590,MADHYA PRADESH,25,1,1,239,25,33,9,29,2001,56,183,37,51,8,2285,0,0,168,26
KHANDWA,0,2602,MADHYA PRADESH,63,9,0,290,63,64,14,11,2001,44,246,46,41,9,3911,5,0,311,44
KHARGON,0,1714,MADHYA PRADESH,47,16,5,533,47,80,15,21,2001,24,509,41,47,17,3499,5,0,171,16
MANDLA,0,914,MADHYA PRADESH,64,2,0,116,64,18,9,11,2001,20,96,13,35,15,2122,2,0,190,29
MANDSAUR,0,1128,MADHYA PRADESH,41,14,1,444,41,56,15,32,2001,96,348,33,28,27,2616,3,2,197,27
MORENA,0,2539,MADHYA PRADESH,35,4,2,564,35,198,35,76,2001,88,476,99,63,19,5229,16,0,381,13
NARSINGHPUR,0,680,MADHYA PRADESH,70,1,0,149,70,32,7,11,2001,26,123,49,38,24,2311,1,0,121,10
NEEMUCH,0,773,MADHYA PRADESH,37,24,0,376,37,65,16,15,2001,52,324,18,17,18,2208,5,3,203,32
PANNA,0,1240,MADHYA PRADESH,44,1,0,99,44,54,11,10,2001,4,95,26,24,11,1921,1,1,145,10
RAISEN,0,1601,MADHYA PRADESH,79,6,9,187,79,59,11,27,2001,12,175,79,39,18,3009,5,1,116,7
RAJGARH,0,1967,MADHYA PRADESH,95,7,1,218,95,161,12,35,2001,34,184,68,42,51,3718,4,0,135,13
RATLAM,0,1530,MADHYA PRADESH,70,13,0,468,70,42,21,54,2001,102,366,60,58,17,3342,5,1,233,37
REWA,0,2291,MADHYA PRADESH,31,1,0,410,31,149,26,67,2001,110,300,54,53,31,4603,6,0,706,23
SAGAR,0,2553,MADHYA PRADESH,141,10,0,497,141,151,30,53,2001,22,475,122,84,51,7681,4,1,473,56
SATNA,0,2121,MADHYA PRADESH,58,4,0,495,58,87,16,52,2001,125,370,48,49,34,4763,3,0,588,12
SEONI,0,1065,MADHYA PRADESH,52,8,3,161,52,49,3,6,2001,19,142,25,40,7,2143,1,0,122,19
SHAHDOL,0,2252,MADHYA PRADESH,63,17,4,390,63,44,13,34,2001,52,338,28,57,26,4162,2,0,464,19
SHAJAPUR,0,1328,MADHYA PRADESH,90,11,1,588,90,92,13,47,2001,95,493,46,42,35,3663,1,0,273,28
SHEOPUR,0,327,MADHYA PRADESH,21,7,2,94,21,38,18,10,2001,9,85,30,24,4,1053,4,0,54,8
SHIVPURI,0,2101,MADHYA PRADESH,72,11,2,255,72,140,20,48,2001,217,38,63,88,38,4321,5,0,272,27
SIDHI,0,1753,MADHYA PRADESH,42,2,2,346,42,33,33,15,2001,18,328,21,36,23,3508,9,2,315,25
SIHORE,0,1755,MADHYA PRADESH,59,17,1,364,59,53,29,19,2001,59,305,54,35,23,3389,1,0,355,26
TIKAMGARH,0,1212,MADHYA PRADESH,86,0,3,172,86,90,7,46,2001,11,161,46,53,26,3078,6,0,154,12
UJJAIN,0,3623,MADHYA PRADESH,59,24,1,1387,59,133,44,79,2001,265,1122,163,84,38,7641,6,3,826,64
UMARIYA,0,1231,MADHYA PRADESH,25,4,0,127,25,30,3,19,2001,1,126,12,19,12,1849,2,0,130,16
VIDISHA,0,1536,MADHYA PRADESH,112,5,0,268,112,77,10,20,2001,41,227,56,47,35,3635,0,0,174,26
TOTAL,0,85143,MADHYA PRADESH,2851,481,125,20263,2851,3395,956,1764,2001,4535,15728,2870,2425,1014,181741,166,19,13549,1413
AHMEDNAGAR,0,975,MAHARASHTRA,44,37,1,715,44,266,37,104,2001,168,547,41,97,44,4391,20,7,312,59
AKOLA,0,1306,MAHARASHTRA,15,15,0,735,15,99,15,41,2001,81,654,41,64,48,4020,9,16,298,59
AMRAVATI COMMR.,0,796,MAHARASHTRA,23,10,3,812,23,95,27,48,2001,163,649,29,44,15,2837,10,2,259,41
AMRAVATI RURAL,0,640,MAHARASHTRA,42,12,0,1031,42,112,29,36,2001,26,1005,23,72,23,3655,1,1,359,31
AURANGABAD COMMR.,0,569,MAHARASHTRA,14,26,0,503,14,130,19,40,2001,179,324,27,36,3,2351,3,1,239,108
AURANGABAD RURAL,0,580,MAHARASHTRA,28,13,0,273,28,139,16,49,2001,30,243,12,61,24,2708,14,0,193,35
BEED,0,820,MAHARASHTRA,22,14,1,499,22,272,25,62,2001,70,429,43,68,38,3644,16,0,264,41
BHANDARA,0,733,MAHARASHTRA,39,12,3,402,39,63,4,15,2001,27,375,22,32,55,2252,2,1,195,19
BULDHANA,0,877,MAHARASHTRA,22,17,1,749,22,246,22,27,2001,45,704,32,49,69,3701,11,0,227,46
CHANDRAPUR,0,922,MAHARASHTRA,43,21,4,572,43,110,10,36,2001,57,515,26,49,39,3123,8,1,253,35
DHULE,0,616,MAHARASHTRA,16,20,1,360,16,86,6,13,2001,56,304,25,48,22,2040,7,0,96,36
GADCHIROLI,0,461,MAHARASHTRA,27,3,3,124,27,28,7,15,2001,15,109,24,47,51,1364,11,0,127,12
GONDIA,0,617,MAHARASHTRA,23,18,3,326,23,20,17,13,2001,30,296,17,41,20,2006,4,2,238,30
HINGOLI,0,473,MAHARASHTRA,20,6,0,241,20,96,9,39,2001,24,217,27,36,33,1841,4,0,119,20
JALGAON,0,1186,MAHARASHTRA,19,41,0,557,19,157,16,30,2001,72,485,44,83,22,4014,16,0,238,119
JALNA,0,587,MAHARASHTRA,16,13,0,345,16,120,12,46,2001,48,297,24,43,38,2529,13,0,209,38
KOLHAPUR,0,915,MAHARASHTRA,26,35,3,561,26,129,21,32,2001,164,397,33,54,20,3162,11,2,299,71
LATUR,0,805,MAHARASHTRA,7,20,0,281,7,211,22,31,2001,58,223,17,42,28,3044,3,2,157,45
MUMBAI,0,6095,MAHARASHTRA,127,393,6,11564,127,196,148,406,2001,3095,8469,200,295,6,28968,61,170,2863,1270
MUMBAI RLY.,0,97,MAHARASHTRA,2,26,1,1756,2,13,1,29,2001,0,1756,9,12,0,2023,0,0,3,34
NAGPUR COMMR.,0,3076,MAHARASHTRA,39,74,2,2666,39,235,64,171,2001,797,1869,70,112,15,9912,14,11,1388,263
NAGPUR RLY.,0,170,MAHARASHTRA,2,5,0,762,2,18,0,20,2001,8,754,1,12,2,1056,6,11,2,7
NAGPUR RURAL,0,1574,MAHARASHTRA,81,27,6,1074,81,180,23,58,2001,62,1012,56,101,81,5680,7,0,501,37
NANDED,0,1655,MAHARASHTRA,23,40,4,539,23,217,41,93,2001,73,466,66,80,67,5348,21,0,426,128
NANDURBAR,0,268,MAHARASHTRA,16,12,0,132,16,80,6,5,2001,19,113,20,44,4,1079,4,0,68,13
NASIK COMMR.,0,572,MAHARASHTRA,9,18,2,529,9,139,14,16,2001,188,341,14,25,19,2195,7,0,263,61
NASIK RURAL,0,1297,MAHARASHTRA,39,57,1,447,39,518,17,36,2001,90,357,54,92,69,4880,40,1,280,54
NAVI MUMBAI,0,617,MAHARASHTRA,17,88,0,893,17,80,19,62,2001,318,575,18,34,3,3063,15,6,375,148
OSMANABAD,0,626,MAHARASHTRA,16,17,1,349,16,101,8,29,2001,45,304,13,48,26,2702,8,0,189,34
PARBHANI,0,440,MAHARASHTRA,25,14,0,230,25,148,22,43,2001,18,212,28,49,31,2475,5,1,143,42
PUNE COMMR.,0,2275,MAHARASHTRA,56,84,3,2508,56,903,46,98,2001,1277,1231,44,71,16,8936,14,5,840,347
PUNE RLY.,0,52,MAHARASHTRA,0,1,2,302,0,3,0,4,2001,1,301,1,4,0,386,1,0,0,3
PUNE RURAL,0,1379,MAHARASHTRA,42,35,6,635,42,150,24,70,2001,168,467,41,119,28,4380,23,1,301,46
RAIGAD,0,764,MAHARASHTRA,20,16,0,296,20,104,8,27,2001,54,242,11,53,10,2218,13,2,200,44
RATNAGIRI,0,429,MAHARASHTRA,10,18,1,256,10,69,8,14,2001,34,222,5,17,17,1431,3,1,97,20
SANGLI,0,787,MAHARASHTRA,32,31,1,515,32,128,18,27,2001,97,418,24,85,47,2999,8,0,225,55
SATARA,0,1210,MAHARASHTRA,32,43,0,464,32,93,12,20,2001,127,337,19,57,24,3465,6,2,266,91
SINDHUDURG,0,225,MAHARASHTRA,7,12,1,106,7,17,2,4,2001,17,89,4,14,11,821,1,1,125,13
SOLAPUR COMMR.,0,449,MAHARASHTRA,16,7,1,306,16,70,15,32,2001,98,208,14,30,3,1567,7,3,165,49
SOLAPUR RURAL,0,967,MAHARASHTRA,35,33,3,365,35,162,23,29,2001,65,300,30,101,29,3145,19,4,134,30
THANE COMMR.,0,624,MAHARASHTRA,39,76,3,1774,39,223,62,146,2001,644,1130,81,133,4,6616,27,7,1022,477
THANE RURAL,0,741,MAHARASHTRA,65,45,17,523,65,148,28,53,2001,147,376,33,140,30,3780,40,3,496,83
WARDHA,0,1051,MAHARASHTRA,35,15,4,592,35,174,12,20,2001,30,562,25,60,27,3443,6,0,266,29
WASHIM,0,441,MAHARASHTRA,15,5,3,409,15,65,13,17,2001,21,388,21,29,22,1826,7,0,121,5
YAVATMAL,0,1204,MAHARASHTRA,56,17,10,788,56,106,37,33,2001,67,721,45,56,25,4157,3,1,232,45
TOTAL,0,42963,MAHARASHTRA,1302,1542,101,39866,1302,6719,985,2239,2001,8873,30993,1454,2839,1208,171233,529,265,15073,4273
BISHNUPUR,0,98,MANIPUR,1,3,1,11,1,11,3,2,2001,1,10,25,29,7,226,3,1,6,3
CHANDEL,0,20,MANIPUR,0,1,0,1,0,0,1,4,2001,0,1,7,7,1,74,16,0,2,1
CHURACHANDPUR,0,47,MANIPUR,1,0,0,12,1,0,0,0,2001,1,11,21,35,3,132,0,3,4,3
IMPHAL(EAST),0,128,MANIPUR,7,6,2,28,7,24,13,1,2001,16,12,29,29,8,337,0,5,12,16
IMPHAL(WEST),0,521,MANIPUR,7,18,2,121,7,83,48,2,2001,52,69,42,44,27,1084,1,9,38,25
SENAPATI,0,111,MANIPUR,0,3,0,9,0,2,6,1,2001,0,9,10,27,2,176,0,1,2,1
TAMENGLONG,0,0,MANIPUR,0,0,0,4,0,0,0,0,2001,0,4,1,2,3,14,0,0,1,0
THOUBAL,0,156,MANIPUR,4,2,0,20,4,11,22,6,2001,1,19,32,32,13,403,0,1,8,17
UKHRUL,0,16,MANIPUR,0,0,0,11,0,0,1,3,2001,0,11,1,4,0,43,0,0,2,0
TOTAL,0,1097,MANIPUR,20,33,5,217,20,131,94,19,2001,71,146,168,209,64,2489,20,20,75,66
GARO HILLS EAST,0,39,MEGHALAYA,2,2,0,16,2,1,5,14,2001,0,16,9,16,1,134,7,0,7,1
GARO HILLS SOUTH,0,16,MEGHALAYA,1,0,0,8,1,1,2,4,2001,0,8,3,6,0,49,3,0,2,0
GARO HILLS WEST,0,74,MEGHALAYA,5,0,0,30,5,3,14,4,2001,3,27,3,19,3,235,9,1,34,4
JAINTIA HILLS,0,70,MEGHALAYA,7,2,0,30,7,1,6,7,2001,0,30,3,35,2,214,17,0,8,2
KHASI HILLS EAST,0,207,MEGHALAYA,5,15,1,142,5,2,20,68,2001,11,131,25,50,19,754,27,2,109,18
KHASI HILLS WEST,0,39,MEGHALAYA,4,0,0,23,4,0,0,16,2001,0,23,2,16,0,125,19,0,0,1
RI-BHOI,0,66,MEGHALAYA,2,0,1,22,2,0,8,12,2001,2,20,2,22,1,176,15,0,10,3
TOTAL,0,511,MEGHALAYA,26,19,2,271,26,8,55,125,2001,16,255,47,164,26,1687,97,3,170,29
AIZAWL,0,94,MIZORAM,26,16,4,562,26,1,0,8,2001,9,553,6,12,16,1126,0,6,265,45
CHAMPHAI,0,69,MIZORAM,7,2,0,51,7,0,1,0,2001,1,50,1,2,1,203,0,2,37,8
KOLASIB,0,53,MIZORAM,6,4,1,83,6,1,0,0,2001,1,82,1,3,6,216,0,1,19,5
LAWNGTLAI,0,112,MIZORAM,2,0,0,25,2,0,0,0,2001,0,25,0,2,1,160,1,0,10,2
LUNGLEI,0,27,MIZORAM,3,1,0,120,3,0,0,0,2001,5,115,4,5,0,229,1,0,47,5
MAMIT,0,20,MIZORAM,0,0,0,12,0,1,0,13,2001,0,12,0,4,0,74,1,3,1,0
SAIHA,0,124,MIZORAM,3,0,0,0,3,0,0,1,2001,0,0,2,2,0,182,0,0,29,6
SERCHHIP,0,0,MIZORAM,5,0,0,25,5,0,1,1,2001,1,24,1,1,0,56,0,0,9,0
TOTAL,0,499,MIZORAM,52,23,5,878,52,3,2,23,2001,17,861,15,31,24,2246,3,12,417,71
DIMAPUR,0,99,NAGALAND,4,10,4,114,4,0,13,89,2001,48,66,5,36,0,464,4,0,55,7
KIPHIRE,0,10,NAGALAND,0,0,0,5,0,0,0,0,2001,0,5,0,1,0,18,0,0,2,0
KOHIMA,0,131,NAGALAND,6,7,0,66,6,0,3,19,2001,40,26,16,25,0,335,2,2,30,16
MOKOKCHUNG,0,32,NAGALAND,1,0,4,12,1,0,1,5,2001,1,11,2,12,1,93,1,0,14,3
MON,0,9,NAGALAND,2,1,1,6,2,0,2,5,2001,0,6,3,3,0,57,1,0,13,2
PEREN,0,11,NAGALAND,0,0,0,4,0,0,0,1,2001,0,4,2,0,0,28,0,0,9,1
PHEK,0,12,NAGALAND,1,0,0,7,1,0,2,2,2001,0,7,4,7,0,51,2,0,9,0
TUENSANG,0,18,NAGALAND,0,2,0,5,0,0,0,2,2001,0,5,3,1,0,41,1,0,7,2
WOKHA,0,23,NAGALAND,1,0,0,28,1,2,2,3,2001,0,28,3,12,0,93,0,0,11,1
ZUNHEBOTO,0,18,NAGALAND,2,0,0,11,2,0,0,3,2001,0,11,1,4,0,54,0,0,13,2
TOTAL,0,363,NAGALAND,17,20,9,258,17,2,23,129,2001,89,169,39,101,1,1234,11,2,163,34
ANGUL,0,488,ODISHA,33,10,5,175,33,62,5,19,2001,9,166,27,39,22,1461,3,0,85,26
BALASORE,0,1305,ODISHA,58,10,2,164,58,76,37,43,2001,17,147,10,17,26,2341,12,0,175,27
BARAGARH,0,580,ODISHA,19,6,9,146,19,80,8,25,2001,0,146,36,23,12,1244,0,0,90,16
BERHAMPUR,0,418,ODISHA,10,13,1,143,10,41,13,54,2001,45,98,52,23,14,1270,7,1,113,19
BHADRAK,0,770,ODISHA,35,9,0,93,35,53,20,16,2001,7,86,10,27,10,1354,2,0,81,11
BOLANGIR,0,554,ODISHA,19,8,4,112,19,51,16,20,2001,6,106,10,32,10,1323,3,0,56,38
BOUDH,0,196,ODISHA,6,3,0,39,6,24,5,5,2001,0,39,6,9,20,415,0,0,23,4
CUTTACK,0,2416,ODISHA,34,27,0,738,34,33,43,121,2001,90,648,143,35,28,4258,21,1,306,105
DEOGARH,0,37,ODISHA,8,1,1,22,8,17,4,7,2001,0,22,2,16,2,363,3,0,23,2
DHENKANAL,0,571,ODISHA,15,8,1,84,15,55,14,26,2001,14,70,30,25,20,1156,2,0,48,18
GAJAPATI,0,233,ODISHA,10,2,1,40,10,16,5,1,2001,2,38,7,19,5,433,2,0,13,13
GANJAM,0,750,ODISHA,22,9,1,124,22,64,14,31,2001,10,114,92,58,30,1790,8,0,96,14
JAGATSINGHPUR,0,728,ODISHA,12,6,6,136,12,23,21,31,2001,8,128,21,26,8,1314,9,0,72,7
JAJPUR,0,758,ODISHA,24,2,0,129,24,21,14,30,2001,16,113,16,21,8,1522,2,0,103,9
